source_code,concept_name
MMMO/L,millimole per liter
1108,microgram per deciliter
MILL/MM3,million per cubic millimeter
mmol/l,millimole per liter
gm/24hr,gram per 24 hours
1508,nanomole per millimole of creatinine
"MCIU/,;",micro-international unit
6226,billion per liter
%_SATURATION,percent saturation
mill/mm3,million per cubic millimeter
1606,trillion per liter
1673,million
% SAT,percent saturation
ML/MIN/1.73M.SQ.,milliliter per minute per 1.73 square meter
7177,gram per 24 hours
UNIT/24 HR,unit per 24 hours
miU/mL,milli-international unit per milliliter
K/cu mm,thousand per cubic millimeter
ng/dL,nanogram per deciliter
{UNIT(S)},unit
THOU/CU.M,thousand per cubic millimeter
mmol/mol creat,millimole per mole of creatinine
72HOURS,hour
X 10 3,thousand
RELATIVE TO H2O,relative to H2O
G/24hrs,gram per 24 hours
/ day,per 24 hours
mL/min per 1.73m2,milliliter per minute per 1.73 square meter
ML/MIN/1.73M**2,milliliter per minute per 1.73 square meter
THDS/CMM,thousand per cubic millimeter
MM[HG],millimeter mercury column
nmol/hr/mL,nanomole per hour and milliliter
15035,billion per liter
g/24HRS,gram per 24 hours
mcg/24hr,microgram per 24 hours
gm/24 Hrs,gram per 24 hours
MM HR,millimeter per hour
1000/cumm,thousand per cubic millimeter
3867,milliosmole per kilogram
{X10S6/MCL},million per microliter
128,day
410,milli-international unit per milliliter
14957,billion per liter
umol/(24.h),micromole per 24 hours
% UPTAKE,percent uptake
MCG/MG,microgram per milligram
Inhibitor Unit,unit
2155,picomole per liter
1000/UL,thousand per microliter
8861,microgram per gram of creatinine
U/Litre,unit per liter
777,meter
SMU,beta-2 GPI IgG Ab unit
MCMOL/L,micromole per liter
K/MM^3,thousand per cubic millimeter
b/min,per minute
14051,billion per liter
G/24 HOURS,gram per 24 hours
%Std HbA1c,percent hemoglobin A1c
{G_Units}L,unit per liter
meq/g{creat},milliequivalent per gram of creatinine
nmol/hr/mg,nanomole per hour and milligram
{OD},O.D. ratio
mIU/m,milli-international unit per milliliter
cmh2o,centimeter watercolumn
Arbitrary Units,arbitrary unit
NG/ML (D-DU),nanogram per milliliter
721,minute
20803,billion per liter
MG;/DL,milligram per deciliter
41,per minute
GM/D,gram per 24 hours
umol/umol,ratio
{NG/MG_CREAT},nanogram per milligram of creatinine
ug/mL FEU,microgram of fibrinogen equivalent unit per milliliter
181,milligram per 24 hours
15024,billion per liter
A UNIT/ML,arbitrary unit per milliliter
% (W/V),percent
mIU/mL,milli-international unit per milliliter
iu/l,international unit per liter
UNITES,unit
6672,billion per liter
MG/G CREATININE,milligram per gram of creatinine
4007,milliliter per minute per 1.73 square meter
cell/ul,cells per microliter
3746,billion per liter
UIU/mL,micro-international unit per milliliter
D-DU ng/ml,nanogram per milliliter
15009,billion per liter
X 10/3/UL,thousand per microliter
UM,micromole per liter
g/d,gram per 24 hours
SECOND,second
/uL ,per microliter
1066,milliliter per minute per 1.73 square meter
(%) A1C,percent hemoglobin A1c
ML/MIN/1.73M?2,milliliter per minute per 1.73 square meter
uIU/mL ,micro-international unit per milliliter
Ku/L,kilounit per liter
NMOL/HR/ML RBC,nanomole per hour and milliliter red blood cells
ML/MIN/1.73MSQ2,milliliter per minute per 1.73 square meter
10*3/uL,thousand per microliter
{Breaths}/min,per minute
MMOL/24HR,millimole per 24 hours
12491,kilogram
14003,milliosmole per liter
{10-6/UL},million per microliter
1657,trillion per liter
162,liter per liter
PRU,peripheral vascular resistance unit
14968,billion per liter
30 MG/ DL,milligram per deciliter
1199,per milliliter
<mg/l,milligram per liter
4703,international unit per milliliter
MG/DEL,milligram per deciliter
K/cu mm ,thousand per cubic millimeter
Log Reduction,log reduction
% / 100 WBC,per 100 white blood cells
16477,milli-international unit per liter
IUnits/L,international unit per liter
MG/24 H,milligram per 24 hours
ug/uL,gram per liter
pg,picogram
14972,billion per liter
UG/GCR,microgram per gram of creatinine
{MM/L},millimole per liter
MICROUNIT/LITER,microunit per liter
ML/MIN .73 M2,milliliter per minute per 1.73 square meter
ML/MIN/1.73ML,milliliter per minute per 1.73 square meter
ratio,ratio
cfu/ml,colony forming unit per milliliter
X THOU,thousand
MG/MG CREAT,milligram per milligram of creatinine
14930,billion per liter
G Units,G (anti-prothrombin IgG concentration) unit
15040,billion per liter
mmo/L,millimole per liter
13399,unit per liter
kg bpm,kilogram
ML/24 H,milliliter per 24 hours
939,microgram per milliliter
ng/ml D-DU,nanogram per milliliter
899,nanomole per millimole
139,gram per liter
{THOU/UL},thousand per microliter
UGL,microgram per liter
%_HBA1,percent hemoglobin A1c
nmol;l,nanomole per liter
{10*6/UL_MILLION_P,million per microliter
L O2,liter
MG/G(CRE),milligram per gram of creatinine
ug/L{DDU},microgram per liter
15063,billion per liter
10114,millimeter
mg/g Cr.,milligram per gram of creatinine
ML/MIN/BSA,milliliter per minute per 1.73 square meter
% of total Hgb,percent hemoglobin
mcmol/24 h,micromole per 24 hours
s,second
counts per 100,per hundred
FAR,degree Fahrenheit
 mOsmol/kg,milliosmole per kilogram
ML/MOIN/1.73M2,milliliter per minute per 1.73 square meter
{X1000/UL},thousand per microliter
uug,microgram
GRADED/HPF,per high power field
ug/mg Cr,microgram per milligram of creatinine
9835,billion per liter
mg/Liter,milligram per liter
{MILLIEQUIVALENTS_,milliequivalent
MML/24,millimole per 24 hours
Thou/ul,thousand per microliter
MPL units/mL,IgM phospholipid unit per milliliter
7327,milligram per liter
M(IU)/ML,milli-international unit per milliliter
14853,billion per liter
10*6{viral equivalents}/mL,megaequivalent per milliliter
{UNITSPERMILLILITE,unit per milliliter
15026,billion per liter
PG/DL,picogram per deciliter
THOUSA,thousand
RATIO UNITS,ratio unit
NMOL/HR/MG PRT,nanomole per hour and milligram
nmol/mg{creat},nanomole per milligram of creatinine
UG/G CRT,microgram per gram of creatinine
3751,billion per liter
HRS^HRS^UCUM,hour
UNITS/ML RBC,unit per milliliter of red blood cells
% of Hgb,percent hemoglobin
CPM,counts per minute
IntlUnit/mL,international unit per milliliter
/LPF],per low powered field
mmol/,millimole
/iU,international unit
IUNITS/ML,international unit per milliliter
COP/ML,copies per milliliter
16431,milligram per deciliter
318,unit per deciliter
U/ML^U/ML^UCUM,unit per milliliter
%UPTAKE,percent uptake
9840,billion per liter
ML/MIN_1.73,milliliter per minute per 1.73 square meter
g/(72.h),gram
103/UL,thousand per microliter
ML/MIN/1.73SQM,milliliter per minute per 1.73 square meter
MIUNITS/ML,milli-international unit per milliliter
GFR,milliliter per minute per 1.73 square meter
Cigarettes/day,per 24 hours
264,second
LOG CFU/ML,log cells per milliliter
APL-U/mL,IgA phospholipid unit per milliliter
COPY/ML,copies per milliliter
{CGG_repeats},Generic unit for indivisible thing
ML/MIN/1.73M7,milliliter per minute per 1.73 square meter
PMOL/L,picomole per liter
UG/MG CRT,microgram per milligram of creatinine
MCU/ML,microunit per milliliter
mL/min/1.73s,milliliter per minute per 1.73 square meter
7982,international unit per liter
MILLILITER/MIN,milliliter per minute
K/MM3,thousand per cubic millimeter
admittingbreathcnt,counts per minute
fim_dischargingweight2,kilogram
9969,nanomole per liter
DEGREE C,degree Celsius
Cells/uL,cells per microliter
304,trillion per liter
ML/MIN/1.73M ^2,milliliter per minute per 1.73 square meter
A UNITS,allergenic unit
{MCIU/ML},micro-international unit per milliliter
UG/MG_CREATININE,microgram per milligram of creatinine
mm/Hr.,millimeter per hour
/(HPF),per high power field
m[IU]/L,milli-international unit per liter
10*3,thousand
GPL U,IgG phospholipid unit
4163,micrometer per liter
relative %,percent
{CTG_repeats},Generic unit for indivisible thing
15492,billion per liter
lpm,liter per minute
Deg C,degree Celsius
MOSM/K,milliosmole per kilogram
log,log copies per milliliter
mL/min/1.7m2,milliliter per minute per 1.73 square meter
6680,billion per liter
MNOL/L,millimole per liter
K/UL',thousand per microliter
mg/DL,milligram per deciliter
% OF HGB,percent hemoglobin
(MG/DL,milligram per deciliter
11317,milligram per deciliter
3338,gram per 24 hours
1468,thousand
%Hb,percent hemoglobin
GPL UNITS,IgG phospholipid unit
{PMOL/8X10(8)RBC},picomole per eight times 10 to the 8th red blood cells
NMOL/G,nanomole per gram
4026,micromole per liter
1494,year
15060,billion per liter
mil/L,million per liter
litres/minute,liter per minute
%mean normal,percent mean normal
10(3),thousand
{MILL/MCL},million per microliter
392,billion per liter
1891,milliosmole per kilogram
X106/C MM,million per cubic millimeter
G units,G (anti-prothrombin IgG concentration) unit
7321,billion per liter
397,milliliter per minute per 1.73 square meter
FL,femtoliter
15125,billion per liter
2148,liter per 24 hours
X 10/6,million
10 NG/ML,nanogram per milliliter
G/ML,gram per milliliter
110,degree Celsius
{M/MM_},million per cubic millimeter
microliters,microliter
EHRLICHU /DL,Ehrlich unit per deciliter
13973,billion per liter
% eos,percent eosinophils
{MILLIGRAMS_PER_DE,milligram per deciliter
6365,ELISA unit per milliliter
NMOL/MMOL,nanomole per millimole
l/minute,liter per minute
u,unit
MPL U,IgM phospholipid unit
ng/day,nanogram per 24 hours
17988,milliosmole
ng/l,nanogram per liter
LOG IU,log international unit per milliliter
YEAR(S),year
THOU/CMM,thousand per cubic millimeter
{K/MM3},thousand per cubic millimeter
TIMES AVG.,times average
{10^3/MCL},thousand per microliter
umol/h/L,micromole per hour and liter
ug/gCRT,microgram per gram of creatinine
{FL_FEMTOLITER},femtoliter
Hour(s),hour
{MINUTE(S)},minute
k/mm3,thousand per cubic millimeter
Picograms,picogram
"ML/MIN/1,73M^2",milliliter per minute per 1.73 square meter
uIU/mI,micro-international unit per milliliter
Feet,foot (US)
x 10^3/µL,thousand per microliter
second(s),second
g/l,gram per liter
NL/MIN 1.73 M2,milliliter per minute per 1.73 square meter
"ML/MIN/1,72 M2",milliliter per minute per 1.73 square meter
MCG/24H,microgram per 24 hours
{X10},number ten
HRS,hour
m/s,meter per second
AAU/mL,arbitrary unit per milliliter
1344,pascal
HZ,Hertz
% of tHB,percent hemoglobin
>=300 MG / DL,milligram per deciliter
K/???L,thousand per liter
373,minute
mOsmo/kg,milliosmole per kilogram
degrees F,degree Fahrenheit
thousand cells/mcL,thousand per microliter
UIU,micro-international unit
ug/g,microgram per gram
10^6 counts,million
2,percent
MEAN NORMAL,percent mean normal
355,percent
x10E3/UL,thousand per microliter
 IU/L,international unit per liter
MCG/MGCR,microgram per milligram of creatinine
276,unit per liter
/cmm,per cubic millimeter
mIU/mLx,milli-international unit per milliliter
counts/mL,per milliliter
NANOGRAMS/DECILITE,nanogram per deciliter
201,milliliter per 24 hours
# /HPF,per high power field
807,microgram per 24 hours
ML/MIN/1.73M-?,milliliter per minute per 1.73 square meter
MG/MIN,milligram per minute
AAU/ML,arbitrary unit per milliliter
nnmol/l,nanomole per liter
14831,billion per liter
ML/M/1.73,milliliter per minute per 1.73 square meter
MM/HR^MM/HR,millimeter per hour
fentoliters,femtoliter
918,micromole per 24 hours
G/G(CREAT),gram per gram of creatinine
Copies/mL,copies per milliliter
PH_SCALE,pH
NMOL/L,nanomole per liter
10*6/UL,million per microliter
15071,billion per liter
14838,billion per liter
ML/MIN/1.79,milliliter per minute per 1.73 square meter
MGDL,milligram per deciliter
THSN/CU MM,thousand per cubic millimeter
{PG_PICOGRAM},picogram
MCG/DL(CALC),microgram per deciliter
{G/DL_(CALC)},gram per deciliter calculated
13971,billion per liter
ML/MIN/1/73M2,milliliter per minute per 1.73 square meter
mL/min/ 1.73m2,milliliter per minute per 1.73 square meter
log10 iu/mL,log10 unit per milliliter
GRAM/DL,gram per deciliter
{SEC},second
{^%A1C},percent hemoglobin A1c
A1C,percent hemoglobin A1c
CALC,calculated
G/VOL,milligram per volume
MCG FEU/ML,microgram of fibrinogen equivalent unit per milliliter
3233,millimole per liter
10^6/L,million per liter
"""""""X10'3/UL""""""",thousand per microliter
X10-3 UL,thousand per microliter
SATURATION,percent saturation
mL/mcL,million per microliter
1223,micromole
eos/cu mm,cells per cubic millimeter
MLS/MIN/173M2,milliliter per minute per 1.73 square meter
mcmol/day,micromole per 24 hours
ML/MN,milliliter per minute
15006,billion per liter
MILLIEQUIVILENT/LI,milliequivalent per liter
MG/GM CREA,milligram per gram of creatinine
% LYMPHS,percent of lymphocytes
2169,number ten
%INHIBITION,percent inhibition
18507,per 24 hours
mmol/mol CRT,millimole per mole of creatinine
µIU/mL,milli-international unit per milliliter
(MMOL/L),millimole per liter
k U/L,kilounit per liter
I;,liter
{YR},year
kg/m2,kilogram per square meter
mgPR/gCR,milligram per gram of creatinine
MCL/ML,microliter per milliliter
X10EE+09/L,billion per liter
10X6 /UL,million per microliter
ML/MN 1.73 M2,milliliter per minute per 1.73 square meter
x10\S\6/uL,million per microliter
MMOL/L,millimole per liter
LI,liter
mL/min/1.73m^2,milliliter per minute per 1.73 square meter
15MG/DL,milligram per deciliter
15005,billion per liter
G/GL,gram per deciliter
2207,percent binding
MPL U/ML,IgM phospholipid unit per milliliter
4720,billion per liter
11234,cells
% Sat,percent saturation
mg/t vol,milligram per 24 hours
mmol/d,millimole per 24 hours
PCT SAT,percent
mcg/g cr,microgram per gram of creatinine
369,milliliter per 24 hours
6677,billion per liter
OD RATIO,O.D. ratio
microIU/mL,micro-international unit per milliliter
NORMAL,percent
nmol{BCE}/mmol{creat},nanomole per millimole of creatinine
796,nanomole per 24 hours
{L/MIN},liter per minute
MLS/MIN,milliliter per minute
Milliequivilent/Li,milliequivalent per liter
MCG/ML,microgram per milliliter
NMOL/ML,nanomole per milliliter
15053,billion per liter
graded/HPF,per high power field
mEq/day,milliequivalent per 24 hours
2070,gram per deciliter
m2,square meter
MCIU/ML,micro-international unit per milliliter
units/mL,unit per milliliter
nM,nanomole
15087,billion per liter
344,milliliter per minute per 1.73 square meter
mmiol,millimole
XXXMG/DL,milligram per deciliter
3745,billion per liter
UMOL/L,micromole per liter
14870,billion per liter
7769,billion per liter
13977,billion per liter
10 ^12/L,trillion per liter
ug/ug,ratio
g/g,gram per gram
MEQ/ML,megaequivalent per milliliter
{UNITS/L},unit per liter
10282,minute
1/min,per minute
u[IU]/mLmicro international unit per milliliterUCUM,micro-international unit per milliliter
U/g creat,unit per gram of creatinine
% OF NL,percent of normal
/uLper microliterUCUM,per microliter
x10*6,million
{/MCL},per microliter
MM/HOUR,millimeter per hour
343,counts per minute
177,meter
MCG/DAY,microgram per 24 hours
X 10 TO 3/UL,thousand per microliter
7063,unit per liter
X10E3/uL,thousand per microliter
{THOUSAND_PER_UL},thousand per microliter
10032,calculated
mOsmKg,milliosmole per kilogram
nmol/24Hrs,nanomole per 24 hours
%THgb,percent hemoglobin
BINDING INHIBITION,percent inhibition
/minute,per minute
10?3/UL,thousand per microliter
M/ L,million per liter
GM/24HRS,gram per 24 hours
%_HGB,percent hemoglobin
umol/dL,micromole per deciliter
X10.E6/UL,million per microliter
MILN/MM3,million per cubic millimeter
21001,nanomole per milliliter
MG/G CREAT.,milligram per gram of creatinine
{ML/24H},milliliter per 24 hours
10*3/microliter,thousand per microliter
ML/MIN PER1.73M2,milliliter per minute per 1.73 square meter
MILLION/C,million per cubic millimeter
NG/MG CRT,nanogram per milligram of creatinine
2142,nanomole per liter
M,meter
2309,gram
MPSIGM,anti-phosphatidylserine IgM concentration (MPS) unit
X(10)3/UL,thousand per microliter
14921,billion per liter
OD RATION,O.D. ratio
Vol %,volume percent
mg/GCrea,milligram per gram of creatinine
(INDEX_VAL),index of reactivity
sperm/mL,spermatozoa per milliliter
K/MM3 S*,thousand per cubic millimeter
per lpf,per low powered field
UNITS/GM,unit per gram
285,micromole per liter
15294,international unit per liter
mmHg/%,millimeter mercury column
mmol/mmol{creat},millimole per millimole of creatinine
MCL,microliter
KIU/ML,Kallikrein inactivator unit per milliliter
mcg/mg Cr,microgram per milligram of creatinine
mcg/ 24h,microgram per 24 hours
[Ratio],ratio
1695,milligram per millimole of creatinine
M/L,million per liter
uUI/ML,micro-international unit per milliliter
ft/ft,ratio
g/L,gram per liter
MCG/24 H,microgram per 24 hours
{LOG10IU/ML},log international unit per milliliter
1421,score
11580,trillion per liter
10?3/uL,thousand per microliter
MM/H,millimeter per hour
#  /UL,per microliter
402,degree Celsius
X(10)3/CUMM,thousand per cubic millimeter
DAILY,per 24 hours
3969,picogram
ML/HR,milliliter per hour
40MG/DL,milligram per deciliter
16507,kilounit per liter
ML/MIN/1.73M-2,milliliter per minute per 1.73 square meter
LOG (CELLS/ML),log cells per milliliter
48 HR,hour
MILLIGRAM / DECILI,milligram per deciliter
10 TO THE THIRD POWER U/L,kilounit per liter
[IU]/ML,international unit per milliliter
cu/mm,cells per cubic millimeter
TRIL/L,trillion per liter
2152,unit per milliliter
1239,liter per minute
KUA/L,thousand allergen-specific IgE antibody units per liter
15051,billion per liter
M-?,square meter
10^6CUMM,million per cubic millimeter
10*6/mL,million per milliliter
X10 3U/L,kilounit per liter
30 MG/DL,milligram per deciliter
PICOGRAM/MILILITER,picogram per milliliter
793,milligram per 24 hours
Picogram,picogram
42,per minute
ML/MIN/1.73/SQ.M.,milliliter per minute per 1.73 square meter
U[IU]/ML,micro-international unit per milliliter
14947,billion per liter
16469,percent
counts/min,counts per minute
142,IgG phospholipid unit per milliliter
mol/kg,mole per kilogram
MEQ/L,milliequivalent per liter
16812,billion per liter
cigars/day (past),per 24 hours
MG/MG CREATININE,milligram per gram of creatinine
14869,billion per liter
14858,billion per liter
Unit(s),unit
{S/CO},signal to cutoff ratio
MMOLL/L,millimole per liter
14914,billion per liter
Millions/mm3,million per cubic millimeter
MG/24HR.,milligram per 24 hours
MEGA/MM3,cells per cubic millimeter
ml/min/1.73m2,milliliter per minute per 1.73 square meter
MIN,minute
10314,international unit per 24 hours
13969,billion per liter
mg/g crea,milligram per gram of creatinine
MMOL/G CRT,millimole per gram of creatinine
M/S,meter per second
48HR,hour
g/24hr,gram per 24 hours
324,per cubic millimeter
microns,micrometer
L/L,liter per liter
x THOU/uL,thousand per microliter
THOUS/,thousand
10271,microunit per milliliter
10S3/UL,thousand per microliter
7949,billion per liter
PMOL/8X10E8/RBC,picomole per eight times 10 to the 8th red blood cells
ohm,ohm
pH Units,pH
48 HOURS,hour
mg/gm Creat,milligram per gram of creatinine
"CA,LC",calculated
centimeter,centimeter
6780,percent total
MIN/1.73M^2,milliliter per minute per 1.73 square meter
% NGSP,percent
{PQ/ML},picogram per milliliter
1216,microgram
1000/MM3,thousand per cubic millimeter
Inhibitor units,unit
10317,international unit per milliliter
275,unit per 24 hours
MILLIGRAMS/MILLILI,milligram per milliliter
202,milliliter per minute
ML//MIN/1.73M2,milliliter per minute per 1.73 square meter
{IU/ML},international unit per milliliter
mL/Day,milliliter per 24 hours
X10E3/UL,thousand per microliter
ml/mn/1.73,milliliter per minute per 1.73 square meter
NG/ML ATP,nanogram per milliliter
umol/mol creat,micromole per mole of creatinine
mg alb/g creat,milligram per gram of creatinine
X10E+09/,billion
ML/MIN/,milliliter per minute
ug/g creat,microgram per gram of creatinine
umol/m,micromole per mole
SEC.,second
FENTOLITERS,femtoliter
G/DL%,gram per deciliter
m1/min/1.73m2,milliliter per minute per 1.73 square meter
14909,billion per liter
mcq/dl,milliequivalent per deciliter
pg/L,picogram per liter
micromole,micromole
%STD HBAC,percent hemoglobin A1c
10301,picogram
G/% (G/DL),gram per deciliter
ML/MIN/1.73M2,milliliter per minute per 1.73 square meter
% fat,percent
mOsm/L,milliosmole per liter
912,percent
CEL,cells
419,pound (US)
ML/MIN/1.73M&#39;2,milliliter per minute per 1.73 square meter
>=60 ML/MIN/1.73M2,milliliter per minute per 1.73 square meter
x10\S\3/uL,thousand per microliter
mlU/mL,milliunit per milliliter
{PG/_ML},picogram per milliliter
1202,per 24 hours
ng/mL/,nanogram per milliliter
NG/MILRBC,nanogram per milliliter of red blood cells
D-DU NG/ML,nanogram per milliliter
 NG/DL,nanogram per deciliter
g/mmol{creat},gram per millimole
LITERS,liter
S/CO,signal to cutoff ratio
NG/ML S*,nanogram per milliliter
x10^3/ul,thousand per microliter
/CUMM,per cubic millimeter
cm3/min/mm[Hg],milliliter per minute per millimeter mercury column
11225,billion per liter
G/24 HRS,gram per 24 hours
ML/MIN/.173M2,milliliter per minute per 1.73 square meter
1767,Bethesda unit
0MM,millimeter
ML/MIN/1.73M2 SQM,milliliter per minute per 1.73 square meter
ug FEU/ml,microgram of fibrinogen equivalent unit per milliliter
{NG/ML_DD},nanogram per milliliter
ug/dl,microgram per deciliter
10299,nanomole per liter
cm3/s,milliliter per second
10263,femtoliter
mmoL/L,millimole per liter
MG/ DL,milligram per deciliter
g/dL (calc),gram per deciliter calculated
10^6/??L,million per liter
19274,milligram per deciliter
degF,degree Fahrenheit
MM/HR.,millimeter per hour
{GMDL},gram per deciliter
NG/ML(FEU),nanogram per milliliter
g/g{creat},gram per gram of creatinine
NG/MLng/mL,nanogram per milliliter
8889,millimeter
3775,parts per million
ML/MIN/1.73 MM,milliliter per minute per 1.73 square meter
mm fall in first hour.,millimeter per hour
% activity,percent activity
x10-3 ul,thousand per microliter
u/ml,unit per milliliter
14872,billion per liter
MMOL/L^MMOL/L,millimole per liter
UG/G{CREAT},microgram per gram of creatinine
M²,square meter
MILL/CU MM,million per cubic millimeter
{10X6UL},million per microliter
{MMOLES/L},millimole per liter
NMOL/HR/MG PROT,micromole per hour and gram of protein
UG/ML^UG/ML^UCUM,microgram per milliliter
X10E+09/L,billion per liter
x10^9/L,billion per liter
957,femtoliter
11076,milligram
Hz,Hertz
X THOU/UL,thousand per microliter
ML/MIN/173SQ.M,milliliter per minute per 1.73 square meter
[APL'U]/ML,IgA phospholipid unit per milliliter
 mmol/L,millimole per liter
6684,billion per liter
x10?3/ul,thousand per microliter
EU/mL,Ehrlich unit per milliliter
risk,risk
ML/MIN/1.73sqm,milliliter per minute per 1.73 square meter
ug/ml,microgram per milliliter
/100{WBC},per 100 white blood cells
{MEG/L},milliequivalent per liter
251,picogram per cell
UIU/ML (2ND,micro-international unit per milliliter
U(IU)/ML,micro-international unit per milliliter
DILS,titer
%^%^UCUM,percent
%OF NORM,percent of normal
LB/IN^2,pound per sqare inch
UNTI/L,unit per liter
log 10,log10 unit per milliliter
'C,degree Celsius
UG/MG_CREAT,microgram per milligram of creatinine
X10-6,million
SECONDS  A,second
Thousand/cmm,thousand per cubic millimeter
mg/gCR,milligram per gram of creatinine
% Normal,percent of normal
h,hour
MPL Units/mL,IgM phospholipid unit per milliliter
mg/L:,milligram per liter
U/g Hb,unit per gram of hemoglobin
cu mm,thousand per cubic millimeter
ML/MIN/173M*2,milliliter per minute per 1.73 square meter
MOM/KG,milliosmole per kilogram
THOU,thousand
15377,billion per liter
NG/DL/H,nanogram per deciliter per hour
262,score
/10*6,per million
{IU/L},international unit per liter
d,day
UIU]/ML,micro-international unit per milliliter
MCG/G HB,microgram per gram of hemoglobin
10*3/mm3,thousand per cubic millimeter
ug/mgCR,microgram per milligram of creatinine
umol/d,micromole per deciliter
3930,thousand per microliter
mL/min/1.73sq.m,milliliter per minute per 1.73 square meter
Inches,inch (US)
[degF],degree Fahrenheit
M/cmm,million per cubic millimeter
Pounds,pound (US)
M/mm3,million per cubic millimeter
miU/ML,milli-international unit per milliliter
pg/uL,picogram per microliter
14890,billion per liter
10pw3,thousand
million units/mL,Million unit per milliliter
10958,microliter
AU/ml,unit per milliliter
 MMOL/L,millimole per liter
APL unit/mL,IgA phospholipid unit per milliliter
224,milliosmole per kilogram
mEq/kg,milliequivalent per kilogram
MILL/M,million per microliter
ug/g CRT,microgram per gram of creatinine
fim_dischargingweight3,kilogram
MG-DL,milligram per deciliter
199,milli-international unit per liter
T.HGB,percent
{^MIU/ML},milli-international unit per milliliter
F/L,femtoliter
7323,billion per liter
thou/uL,thousand per microliter
13935,nanogram per gram
nmol/mmol{creat},nanomole per millimole of creatinine
UG/DL,microgram per deciliter
UNITY/L,unit per liter
MG/12 HR,milligram per 12 hours
NG/L^NG/L^UCUM,nanogram per liter
ML/MIN1/73,milliliter per minute per 1.73 square meter
1000/MCL,thousand per microliter
150,hour
{MIUNITS/ML},milli-international unit per milliliter
IU/dL,international unit per deciliter
353,Decibel
FEUUG/ML,microgram of fibrinogen equivalent unit per milliliter
mL/min/A,milliliter per minute per 1.73 square meter
10267,microgram per milliliter
I.U./L,international unit per liter
ML/MIN/1.73 M\S\2,milliliter per minute per 1.73 square meter
14925,billion per liter
38,per 24 hours
MOSM,milliosmole
21075,billion per liter
JDF units,Juvenile Diabetes Foundation unit
 G/DL,gram per deciliter
APS IgA,anti-phosphatidylserine IgA concentration (APS) unit
%HGBA1C,percent hemoglobin A1c
15054,billion per liter
{NG/_ML},nanogram per milliliter
{10X3/UL},thousand per microliter
260,ratio
MG/G^MG/G^UCUM,milligram per gram
1714,million per milliliter
1165,IgG phospholipid unit
MIU/ML;,micro-international unit per milliliter
KG/M²,kilogram per square meter
UL/ML,microliter per milliliter
mOsm/K,milliosmole per kilogram
10^ 3/U,thousand per microliter
mcIU/ml,micro-international unit per milliliter
{WBC}/UL,cells per microliter
THOSUAND/UL,thousand per microliter
UIU/L,micro-international unit per liter
NMOL BCE/MMOL C,nanomole of bone collagen equivalent per millimole of creatinine
10302,picogram per milliliter
x10^9 /L,billion per liter
1339,gram per deciliter
MCG/MG CRAT,microgram per milligram of creatinine
ug/mlFEU,microgram of fibrinogen equivalent unit per milliliter
10*9/L,billion per liter
mL/{beat},milliliter per heart beat
ELISA RATIO,O.D. ratio
{THOUSAND_PER_MICR,thousand per microliter
g/hr,gram per hour
NG/DL S*,nanogram per deciliter
MG/24HRS,milligram per 24 hours
{LEU/UL},cells per microliter
ML/MIN/1.73M3,milliliter per minute per 1.73 square meter
mm Hg,millimeter mercury column
NG/24 HR,nanogram per 24 hours
ML/MIN/1.72SQM,milliliter per minute per 1.73 square meter
10*6/µL,million per microliter
3760,billion per liter
827,kilogram
ML/MIN/1.73_M2,milliliter per minute per 1.73 square meter
"MG/DL, -",milligram per deciliter
MILLION/ML,million per milliliter
NG./ML.,nanogram per milliliter
aunit,allergenic unit
a units,allergenic unit
ao,Angstrom
{angstrom},Angstrom
angstrom,Angstrom
{aps'u},anti-phosphatidylserine IgA concentration (APS) unit
aps iga,anti-phosphatidylserine IgA concentration (APS) unit
aps iga units,anti-phosphatidylserine IgA concentration (APS) unit
aps iga aps iga lb,anti-phosphatidylserine IgA concentration (APS) unit
aps,anti-phosphatidylserine IgA concentration (APS) unit
apsiga,anti-phosphatidylserine IgA concentration (APS) unit
aps u/ml,anti-phosphatidylserine IgA concentration (APS) unit per milliter
gps igg gps igg lb,anti-phosphatidylserine IgG concentration (GPS) unit
gps igg units,anti-phosphatidylserine IgG concentration (GPS) unit
gpsigg,anti-phosphatidylserine IgG concentration (GPS) unit
gps igg,anti-phosphatidylserine IgG concentration (GPS) unit
gps,anti-phosphatidylserine IgG concentration (GPS) unit
{gps'u},anti-phosphatidylserine IgG concentration (GPS) unit
{gps},anti-phosphatidylserine IgG concentration (GPS) unit
gps u/ml,anti-phosphatidylserine IgG concentration (GPS) unit per milliliter
{mps'u},anti-phosphatidylserine IgM concentration (MPS) unit
mps igm mps igm lb,anti-phosphatidylserine IgM concentration (MPS) unit
mps igm,anti-phosphatidylserine IgM concentration (MPS) unit
{mps},anti-phosphatidylserine IgM concentration (MPS) unit
mps,anti-phosphatidylserine IgM concentration (MPS) unit
mpsigm,anti-phosphatidylserine IgM concentration (MPS) unit
mps u/ml,anti-phosphatidylserine IgM concentration (MPS) unit per milliliter
cae units,arbitrary unit
au,arbitrary unit
[arb'u],arbitrary unit
ru,arbitrary unit
arunit,arbitrary unit
[arbu],arbitrary unit
(arb'u),arbitrary unit
apl,arbitrary unit
lu30,arbitrary unit
sau,arbitrary unit
arbitrary units,arbitrary unit
[arb'u]/l,arbitrary unit per liter
au / ml,arbitrary unit per liter
